6.1101,13.543
5.5277,9.1302
8.5186,13.662
7.0032,11.854
5.8598,6.987
18.3829,11.886
7.4764,5.3483
8.5781,12
6.4862,6.5987
5.0546,3.8166
5.7107,3.2522
14.164,15.505
5.732,3.1551
3.4084,7.2258
5.6407,11.71618
5.3794,3.5129
6.3654,5.3048
5.13441,0.56077
6.4296,3.6518
7.0708,5.3893
6.1891,3.1386
7,21.767
5.4901,4.263
6.3261,5.1875
5.5649,3.0825
18.945,22.638
12.828,13.501
10.957,7.0467
13.176,14.692
12.203,24.147
5.2524,-1.22
6.5894,5.9966
10.54,12.134
5.89668,1.8495
8.2111,6.5426
7.9334,4.5623
8.0959,4.1164
5.6063,3.3928
12.836,11.127
6.3534,5.4974
5.4069,0.55657
6.8825,3.9115
11.708,5.3854
5.7737,2.4406
7.84447,6.7318
7.0931,1.0463
5.0702,5.1337
5.8014,1.844
11.7,8.0043
5.5416,1.0179
7.5402,6.24504
5.3077,1.8396
7.4239,4.2885
7.6031,4.9981
6.3328,1.4233
6.3589,-1.4211
6.2742,2.4756
5.6397,6.642
9.3102,3.9624
9.4536,8.41
8.8254,5.1694
5.1793,-0.74279
21.279,17.929
14.908,12.054
17.959,17.054
8.6543,4.8852
8.2951,5.7442
10.236,6.7754
5.4994,1.0173
20.341,20.992
10.136,6.6799
7.3345,4.0259
6.0062,1.2184
7.2239,3.3411
5.0269,-2.6807
6.5479,0.29678
7.5386,3.8845
5.0365,5.7014
10.274,6.7526
5.1077,2.0576
5.7292,1.47353
5.1884,0.20421
6.3557,0.67861
19.7687,7.5435
6.5159,5.3436
8.5172,4.2415
9.1802,6.7981
6.002,0.92695
5.5204,0.152
5.0594,2.214
7.7077,1.8451
7.6366,4.2959
8.8707,7.2029
5.3054,1.9869
8.2934,0.14454
13.394,9.0551
7.4369,0.61705
11.2864,6.7526
6.1557,2.0576
1.8292,1.47353
